Index,AAPL.Adjusted,MSFT.Adjusted,SPY.Adjusted
2021-11-30,165.089676,329.907837,453.965118
2021-12-01,164.560349,329.398895,448.922821
2021-12-02,163.55162,328.810089,455.798676
2021-12-03,161.634064,322.343506,451.832611
2021-12-06,165.10965,325.516937,457.183807
2021-12-07,170.962173,334.228912,466.640594
2021-12-08,174.857224,334.278809,467.876221
2021-12-09,174.337875,332.412659,464.717346
2021-12-10,179.221664,341.833191,469.091949
2021-12-13,175.516388,338.699646,464.936584
2021-12-14,174.108185,327.662476,461.737793
2021-12-15,179.071854,333.959473,468.952454
2021-12-16,172.040802,324.229584,464.816986
2021-12-17,170.922241,323.131836,459.869995
2021-12-20,169.533997,319.249878,454.980011
2021-12-21,172.769882,326.614655,463.059998
2021-12-22,175.416504,332.512482,467.690002
2021-12-23,176.055695,333.99939,470.600006
2021-12-27,180.10054,341.743378,477.26001
2021-12-28,179.061859,340.545837,476.869995
2021-12-29,179.151749,341.244415,477.480011
2021-12-30,177.973251,338.619843,476.160004
